Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Ocean Prime,Seafood,"Midtown West, New York, NY","123 W 52nd St, New York, NY 10019, USA",40.7617173,-73.980547
La Gioconda,Italian,"Midtown East, New York, NY","226 E 53rd St, New York, NY 10022, USA",40.7571743,-73.96838300000000
Chez Nick,American (New),"Upper East Side, New York, NY","1737 York Ave, New York, NY 10128, USA",40.7790105,-73.9452127
Oda House - Manhattan,Eastern European,"Upper East Side, New York, NY","406 E 73rd St, New York, NY 10021, USA",40.7681035,-73.9549634
Sarabeth's Central Park South,American (New),"Midtown West, New York, NY","40 Central Park S Located in: 40 West 59th Street Condominium, New York, NY 10019, USA",40.7825547,-73.9655834
Stout NYC Grand Central,American (Traditional),"Murray Hill, New York, NY","60 E 41st St, New York, NY 10017, USA",40.7515957,-73.9788468
Crave Fishbar - Upper West Side,Seafood,"Upper West Side, New York, NY","428 Amsterdam Ave, New York, NY 10024, USA",40.7842654,-73.9778134
Monterey,American (New),"Midtown East, New York, NY","37 E 50th St, New York, NY 10022, USA",40.7578864,-73.9746074
Delmonico's,Steakhouse,"Lower Manhattan, New York, NY","56 Beaver St, New York, NY 10004, USA",40.7049925,-74.01059480000000
Kyma,Greek,"Flatiron District, New York, NY","15 W 18th St, New York, NY 10011, USA",40.7391382,-73.9928051
Comal,Mexican,"Lower East Side, New York, NY","116 Forsyth St, New York, NY 10002, USA",40.7191233,-73.9921624
Danji,Korean,"Hells Kitchen, New York, NY","346 W 52nd St, New York, NY 10019, USA",40.7640415,-73.9868497
Pomp & Circumstance,Mediterranean,"Williamsburg, New York, NY","577 Lorimer St, Brooklyn, NY 11211, USA",40.7142586,-73.9496365
Sabai Thai,Thai,"Nomad, New York, NY","432 Park Ave S, New York, NY 10016, USA",40.7442673,-73.9837039
Olio e Più,Italian,"West Village, New York, NY","3 Greenwich Ave, New York, NY 10014, USA",40.7338471,-73.9998667
Meadowsweet,American (New),"Williamsburg, New York, NY","149 Broadway, Brooklyn, NY 11211, USA",40.7104256,-73.96312430000000
Indochine,Vietnamese,"Noho, New York, NY","430 Lafayette St, New York, NY 10003, USA",40.7293047,-73.99255220000000
Melba’s,Soul Food / Southern,"Harlem, New York, NY","300 W 114th St, New York, NY 10026, USA",40.8031258,-73.9566693
Moono,Korean,"Koreatown, New York, NY","29 E 32nd St, New York, NY 10016, USA",40.7464153,-73.98333150000000
Ophelia Lounge NYC,American (New),"Midtown East, New York, NY","3 Mitchell Pl 26th floor, New York, NY 10017, USA",40.753401,-73.96617360000000
Baires Grill New York,Argentinian,"Hells Kitchen, New York, NY","350 W 50th St, New York, NY 10019, USA",40.76269570000000,-73.9875942
Mezze on the River,American (Traditional),"Lower Manhattan, New York, NY","375 S End Ave, New York, NY 10280, USA",40.7112505,-74.0176287
Bobo,French,"West Village, New York, NY","181 W 10th St, New York, NY 10014, USA",40.7345161,-74.0026414
Maya,Mexican,"Upper East Side, New York, NY","1191 1st Ave, New York, NY 10065, USA",40.7631741,-73.95972360000000
One Dine,American (New),"Lower Manhattan, New York, NY","117 West St, New York, NY 10007, USA",40.7131216,-74.01336310000000
Four Twenty Five,American (New),"Midtown East, New York, NY","425 Park Ave, New York, NY 10022, USA",40.7605565,-73.97106890000000
Chazz Palminteri Italian Restaurant,Italian,"Midtown West, New York, NY","30 W 46th St, New York, NY 10036, USA",40.7564318,-73.9806682
STK Downtown,Steakhouse,"Meatpacking District, New York, NY","26 Little W 12th St, New York, NY 10014, USA",40.739859,-74.00740380000000
Il Falco,Italian,"Long Island City, New York, NY","21-50 44th Dr, Long Island City, NY 11101, USA",40.747512,-73.945545
Osteria 57,Italian,"Greenwich Village, New York, NY","453 6th Ave, New York, NY 10011, USA",40.735162,-73.9987529
The Lodge Bar by Stout NYC at Bryant Park,Italian,"Midtown West, New York, NY","109 W 39th St, New York, NY 10018, USA",40.7532842,-73.9859522
Ci Siamo,Italian,"Chelsea, New York, NY","440 W 33rd St Suite #100, New York, NY 10001, USA",40.7525543,-73.99893020000000
Maisonetta,Mexican,"Mott Haven, New York, NY","141 Lincoln Ave, Bronx, NY 10454, USA",40.808723,-73.9291428
Amali,Mediterranean,"Upper East Side, New York, NY","115 E 60th St, New York, NY 10022, USA",40.76342880000000,-73.9685299
Pulperia Latin Mediterranean Kitchen,Mediterranean,"Times Square/Theatre District, New York, NY","338 W 46th St, New York, NY 10036, USA",40.7601272,-73.989554
Le Gratin,French,"Lower Manhattan, New York, NY","5 Beekman St, New York, NY 10038, USA",40.7112585,-74.0066214
Oscar Wilde,American (New),"Nomad, New York, NY","45 W 27th St, New York, NY 10001, USA",40.7451715,-73.9900275
